slug,url,model,brand,collection,price_value,price_currency,terrain,use_case,release_year,date_published,pronation_support,arch_type,strike_pattern,pace_recommendation,features_special,season,widths_available,material,type_tags,condition,stack_height_mm_heel,stack_height_mm_forefoot,drop_mm,midsole_softness_HA,midsole_softness_in_cold_HA,midsole_softness_in_cold_pct,shock_absorption_SA_heel,shock_absorption_SA_forefoot,energy_return_pct_heel,energy_return_pct_forefoot,weight_g,width_fit_mm_new,width_fit_mm_old,toebox_width_mm_new,toebox_width_mm_old,toebox_height_mm,platform_width_mm_forefoot,platform_width_mm_heel,breathability_score,traction_wet_score,flexibility_force_N,flexibility_force_N_old,stiffness_in_cold_N,cold_stiffness_change_pct,durability_toebox_score,durability_heel_score,durability_outsole_wear_mm,outsole_thickness_mm,outsole_hardness_HC,insole_thickness_mm,tongue_padding_mm,tongue_gusset,heel_tab,removable_insole,orthotic_friendly,breathability_rating,torsional_rigidity_rating,heel_counter_stiffness_rating,reflective_elements,audience_verdict_raw,audience_score,verdict_summary,pros,cons,who_should_buy,who_should_not_buy,price_usd
new-balance-fuel-cell-rebel-v-5,https://runrepeat.com/new-balance-fuel-cell-rebel-v-5,New Balance FuelCell Rebel v5,New Balance,New Balance Fuelcell|New Balance Fuelcell Rebel,3072740.0,IDR,Road,Jogging|Walking|All-day wear,,2025-07-16T10:29:11+00:00,Neutral Pronation|Supination|Underpronation,High arch,Forefoot|Midfoot strike,Daily running|Tempo,Orthotic friendly|Cushioned|Removable insole|Rocker,All seasons,Normal|Wide,Mesh|Reflective,Lightweight,,33.0 mm,26.7 mm,6.3 mm,11.5 HA,13.4 HA,17%,145 SA,,59.8%,,220.0,96.1 mm,,75.0 mm,,27.9 mm,114.9 mm,91.4 mm,3,0.50,11.7N,,,,1,4,0.8 mm,2.6 mm,65.0 HC,2.6 mm,2.9 mm,Both sides (semi),None,Yes,True,3.0,2.0,3.0,Yes,Audience verdict 91 Superb! Top 8% in road running shoes Top 8% in New Balance running shoes Top 10% most popular running shoes,91,"We believe the Rebel v5 is a strong upgrade that fixes the biggest flaws of version 4 while keeping the same price, plush foam, and flexible design.",Lightweight build|Cloud-soft FuelCell foam|Fixes all issues from v4|Maintains the same price from v4|Handles easy runs and tempo sessions|Top pick for midfoot strikers|Still flexible and fun|Improved fit overall,Runs warm on hot summer days|Upper durability is a concern|Traction could be better,"Runners who gave the Rebel v4 a try but couldn’t get past the short tongue or irritating heel. Well, we found that both issues are now fully resolved.|Anyone after a feather-light, joy-filled shoe that works for everything from daily runs to fast tempo runs.|Forefoot and midfoot strikers who dislike maximalist shoes and prefer a grounded, ultra-flexible ride that keeps them connected to the road.","If you're chasing maximum bounce, we believe the Rebel v5 isn’t the best choice. In our lab, shoes like the Adidas Adizero EVO SL or Adios 9 delivered better energy return—making them better suited for tempo runs and longer sessions.|Additionally, we think the Rebel v5 struggles in wet conditions or dirt roads due to its slippery outsole. Based on our tests, the ASICS Noosa Tri 16 makes a stronger pick, as it shares the same lightweight DNA but adds better traction.",184.66
on-cloudsurfer-2,https://runrepeat.com/on-cloudsurfer-2,On Cloudsurfer 2,On,On Cloud|On Cloudsurfer,3264790.0,IDR,Road,Jogging|Walking|All-day wear,,2025-06-03T15:43:19+00:00,Neutral Pronation|Supination|Underpronation,High arch,Heel strike,Daily running,Orthotic friendly|Cushioned|Removable insole|Sustainable|Rocker,All seasons,Normal|Wide,Mesh|Reflective,Maximalist,Plantar fasciitis,37.5 mm,27.1 mm,10.4 mm,25.5 HA,30.0 HA,18%,137 SA,,52.6%,,254.0,93.6 mm,,73.5 mm,,28.0 mm,113.6 mm,88.8 mm,3,0.39,11.5N,,,,3,4,0.6 mm,3.0 mm,85.0 HC,4.5 mm,10.6 mm,None,None,Yes,True,3.0,3.0,3.0,Yes,Audience verdict 90 Great! Top 19% in road running shoes Top 20% in On running shoes Top 26% most popular running shoes,90,"The On Cloudsurfer 2 delivers a comfort-driven, durability-rich ride with premium materials, and we enjoyed its versatility for both running and casual wear.",Still lightweight!|Premium-quality materials|Better than predecessor at long runs|Great for daily wear|Durable outsole|Enhanced rockered shape|Nice reflective elements,Price tag exceeds performance value|Not for faster paces|Lacks a gusseted tongue|Firm foam doesn't feel like clouds at all,"Casual runners willing to spend a bit more for a unique design and premium-feeling materials.|Those who value comfort and long-lasting materials over snappy responsiveness in their daily miles.|Anyone after a stylish, all-purpose shoe that blends weekend runs with everyday wear.","We think the On Cloudsurfer 2 is too expensive for its performance. Despite its premium look and upgraded materials, it lacks the springy, energetic ride some runners expect in this price range. For a better price-to-performance ratio, we recommend the ASICS Novablast 5 or the Adidas Adizero EVO SL —especially the latter, which impressed us with its Lightstrike Pro midsole.|We’re also convinced that runners chasing a cloud-like experience won’t get it here despite the shoe's name. From our evaluation, the New Balance Fresh Foam X More v5 is a better pick for a high-stack option, while the New Balance FuelCell Rebel v4 fits the bill for those wanting something closer to the ground.",196.2
salomon-aero-glide-3,https://runrepeat.com/salomon-aero-glide-3,Salomon Aero Glide 3,Salomon,,3072740.0,IDR,Road,Jogging|Treadmill|Walking|All-day wear,,2025-06-01T18:52:52+00:00,Neutral Pronation|Supination|Underpronation,High arch,Heel strike,Daily running,Orthotic friendly|Cushioned|Removable insole,All seasons,Normal,Mesh|Reflective,Breathable|Maximalist|Lightweight,Shin splints,42.2 mm,31.9 mm,10.3 mm,21.0 HA,24.0 HA,14%,156 SA,,68.0%,,248.0,92.8 mm,,70.8 mm,,28.8 mm,120.3 mm,96.2 mm,4,0.49,16.0N,,,,1,3,1.4 mm,3.9 mm,79.5 HC,4.1 mm,6.4 mm,Both sides (semi),None,Yes,True,4.0,4.0,2.0,Yes,Audience verdict 92 Superb! Top 3% in road running shoes Top 6% in Salomon running shoes Top 26% most popular running shoes,92,"Third time’s a charm for the Aero Glide 3, as it finally earns a top spot in the maximalist category.","Surprinsingly light for its size|Improved energy return|Maximalist cushioning from heel to toe|Smooth, natural-feeling rocker|Innovative inside-out upper construction|Solid ventilation|Handles long runs with ease|Good grip|Premium quality materials",Pricier than most competitors|Tight fit and tapered toebox|Upper and outsole durability concerns﻿,"Runners who found the Aero Glide 2 decent but wanted more bounce and cushion—this update feels miles ahead.|Anyone looking for a lightweight, ultra-cushioned trainer built with high-quality materials.|Those who want strong protection for long runs without a super-aggressive rocker.","From our perspective, the Aero Glide 3 doesn’t quite work for runners with average or wide feet, as the narrow shape and tapered toebox feel overly tight and can get uncomfortable. If you want a roomier yet still max-cushioned ride, the ASICS Novablast 5 nails it—and it’s easier on the wallet too.|We also found that durability isn’t one of the Aero Glide 3’s strengths. Through our evaluation, both the outsole and upper showed signs of fast deterioration. For high-mileage runners, we think the Brooks Hyperion Max 2 or Adidas Adizero EVO SL are better picks.",184.66
nike-pegasus-premium,https://runrepeat.com/nike-pegasus-premium,Nike Pegasus Premium,Nike,Nike Pegasus,4032970.0,IDR,Road,Jogging|Treadmill|Walking|All-day wear,,2025-05-26T14:59:22+00:00,Neutral Pronation|Supination|Underpronation,High arch,Heel strike,Daily running|Tempo,Orthotic friendly|Cushioned|Removable insole|Rocker,Summer|All seasons,Normal,Knit|Mesh|Reflective,Breathable|For heavy runners|Maximalist,Shin splints,42.8 mm,31.0 mm,11.8 mm,18.5 HA,20.0 HA,8%,155 SA,,67.3%,,308.0,91.3 mm,,70.3 mm,,29.1 mm,108.6 mm,90.3 mm,5,0.49,21.2N,,,,1,5,1.0 mm,3.2 mm,79.0 HC,2.7 mm,9.9 mm,None,Extended heel collar,Yes,True,5.0,4.0,5.0,Yes,Audience verdict 83 Good! Top 5% most popular running shoes,83,We found the Pegasus Premium to be a wild ride packed with cutting-edge tech.,"Triple-layer, spring-like midsole|Handles long runs and tempo efforts|Sublime step-in comfort|Incredibly fun to ride|Amazing build quality|Knit upper offers top breathability|Visually stunning from every angle|360-degree reflectivity|Finally a max-cushioned Pegasus!",Narrow fit excludes many runners|Needs to lose some weight|High price|It's noisy!,"A true supertrainer packed with sky-high bounce and high-octane fun.|Built for runners chasing cutting-edge tech.|A great option for those craving an Alphafly-style ride in a daily trainer setup.|Tailored for narrow-footed runners wanting a cloud-soft, breathable knit upper like few others.","The Pegasus Premium is a polarizing supertrainer that, in our view, won’t suit every runner. We found it significantly heavier than alternatives like the ASICS Superblast 2 and Hoka Mach X 2 —both offering similar energy return in a much lighter build.|We also found the narrow fit quite limiting, and we believe those needing more space should check the more budget-friendly Adidas Adizero EVO SL . It still offers a performance-ready fit but better suited for those with average feet.|Lastly, the steep price tag might be tough to swallow. If that’s your case, the Zoom Fly 6 or Vomero 18 are better-value options from Nike.",242.37
nike-vomero-18,https://runrepeat.com/nike-vomero-18,Nike Vomero 18,Nike,Nike Vomero,2880700.0,IDR,Road,Jogging|Walking|All-day wear,,2025-05-25T15:19:41+00:00,Neutral Pronation|Supination|Underpronation,High arch,Heel strike,Daily running,Orthotic friendly|Cushioned|Removable insole|Rocker,All seasons,Normal|Wide|X-Wide,Mesh|Reflective,Maximalist,Shin splints,42.5 mm,28.6 mm,13.9 mm,15.0 HA,17.0 HA,13%,147 SA,,56.9%,,298.0,95.6 mm,,69.6 mm,,26.2 mm,116.6 mm,96.5 mm,3,0.38,16.0N,,,,3,5,1.1 mm,3.8 mm,85.5 HC,4.6 mm,13.4 mm,Both sides (semi),Finger loop,Yes,True,3.0,4.0,3.0,Yes,Audience verdict 91 Superb! Top 10% in road running shoes Top 11% in Nike running shoes Top 2% most popular running shoes,91,"The Vomero 18 received a much-needed, full-scale overhaul to match today’s trend of max-cushioned trainers.",Amazing step-in feel|First max-stack Vomero|Price drop from v17!|Superb cushioning﻿|Ideal for recovery runs|Ideal for heel strikers|Still quite stable despite its size|Comfortable upper,Needs to lose some weight|Narrow toebox|Lacks agility for faster paces|Grip could be better,"Runners dreaming of a max-stack Vomero finally got their wish.|It shines during long runs and slow-paced jogs, offering deep, comfort-focused cushioning.|Nike’s price cut makes it more accessible, great news for those who hesitated in the past.|Heel strikers looking for plush landings and ultra-soft comfort will feel right at home in this shoe.","We think the Vomero 18 isn’t the best pick for runners who want a lightweight running shoe. It’s on the heavier end, and based on our test runs, it lacks the agility needed for fast-paced sessions. From our perspective, shoes like the ASICS Novablast 5 or Adidas Adizero EVO SL offer similar cushioning in much lighter packages.|We’re also convinced that the narrow toebox is a real drawback for many. It doesn’t allow natural toe splay, which could become a dealbreaker for runners with wider feet. Instead, we’d go with the Topo Atmos or Mizuno Wave Sky 8 .",173.12
mizuno-neo-zen,https://runrepeat.com/mizuno-neo-zen,Mizuno Neo Zen,Mizuno,,2880700.0,IDR,Road,Jogging|Treadmill|Walking|All-day wear,,2025-05-12T09:09:40+00:00,Neutral Pronation|Supination|Underpronation,High arch,Forefoot|Midfoot strike,Daily running|Tempo,Orthotic friendly|Cushioned|Removable insole,All seasons,Normal|Wide,Knit|Reflective,Breathable|Maximalist|Lightweight,Shin splints,41.0 mm,34.0 mm,7.0 mm,13.5 HA,18.0 HA,33%,158 SA,,71.7%,,234.0,93.7 mm,,73.4 mm,,27.0 mm,113.5 mm,94.7 mm,4,0.38,12.8N,,,,5,4,0.9 mm,2.7 mm,62.5 HC,4.8 mm,4.1 mm,Sock like,Finger loop,Yes,True,4.0,3.0,1.0,Yes,Audience verdict 93 Superb! Top 2% in road running shoes Top 12% in Mizuno running shoes Top 23% most popular running shoes,93,"Mizuno is back in style, and the Neo Zen proves it loud and clear.","Plush and bouncy foam|Feather-light for a max-stack trainer|Fun, agile ride|Ideal for long runs|Solid value for performance|Comfortable and breathable ﻿ knit upper|Toebox resist heavy wear|Eye-catching design|Outsole grips and lasts﻿",Wobbly for those needing support|Heel sink slows rearfoot strikers|Upper lacks padding and structure﻿|Enerzy NXT firms up in cold conditions,"Runners looking for a high-stack daily trainer that blends comfort, fun, and performance in a unique way.|Those needing a durable everyday shoe that can handle tempo runs when needed thanks to its lightweight build.|Marathoners who want a super-soft, leg-saving option for easy and recovery days.|Fans of knit uppers!","We believe the Neo Zen isn’t the best choice for runners who need stability or a more grounded feel. After testing, we found that the soft foam creates a sink-in sensation that may feel unstable for many. If you're after a smoother and more balanced ride, we suggest checking out the Hoka Clifton 10 or the Adidas Adistar 3 —both offer a more stable platform for daily training.|Additionally, we think the knit upper, while stretchy and breathable, lacks the structure and padding some runners expect in a daily trainer. In our experience, the heel fit can feel loose. For a similar bouncy shoe with a more traditional, secure feel, we recommend trying the ASICS Novablast 5 instead.",173.12
asics-gel-cumulus-27,https://runrepeat.com/asics-gel-cumulus-27,ASICS Gel Cumulus 27,ASICS,Asics Gel|Asics Gel Cumulus,3072740.0,IDR,Road,Jogging|Walking|All-day wear|For beginners,,2025-05-05T08:57:59+00:00,Neutral Pronation|Supination|Underpronation,High arch,Heel strike,Daily running,Orthotic friendly|Cushioned|Removable insole,All seasons,Men: Normal|Wide|X-Wide|Women: Narrow|Normal,Mesh|Reflective,Maximalist,Shin splints,40.9 mm,29.3 mm,11.6 mm,15.9 HA,22.1 HA,39%,136 SA,,49.4%,,261.0,93.9 mm,,71.1 mm,,29.7 mm,120.2 mm,100.7 mm,2,0.50,15.1N,,,,5,5,2.8 mm,8.4 mm,46.0 HC,5.3 mm,1.7 mm,Both sides (semi),Finger loop,Yes,True,2.0,5.0,4.0,Yes,Audience verdict 89 Great! Top 30% in running shoes Top 30% in Running shoes for shin splints Top 22% most popular running shoes,89,The Gel Cumulus 27 receives another minor update as it approaches its 30th edition—a milestone that’s clearly no accident.,"More foam than ever!|Plush and durable upper|Wide midsole enhances stability|Smooth, natural transitions|Semi-gusseted tongue improves lockdown|Reasonably priced|Keeps the same weight|Soft-landing FluidRide EVA outsole",Breathability needs improvement|Outsole durability concerns|Lacks energy return|Toebox should be roomier,"Runners in colder climates looking for a no-frills, versatile daily trainer.|Fans of the previous Cumulus who don’t mind gaining extra stack height for longer runs.|Heel strikers wanting one all-around shoe for running, daily wear, and occasional gym sessions.|Those who dislike ultra-rockered shoes from recent years—the Cumulus 27 keeps a traditional, low-curved forefoot that feels more natural underfoot.","We believe that the Cumulus 27 isn’t the best option for runners who prioritize breathability. After testing it in the lab, we rated its ventilation poorly, and from our perspective, it’s a bad pick for hot-weather runs. Instead, the breathable uppers on the Hoka Mach 6 or Brooks Glycerin 22 are far better suited for those conditions.|We also think that the Cumulus 27 lacks energy return—especially for heel strikers landing on the PureGEL insert. For a more bouncy and fun experience, we recommend the Adidas Adizero EVO SL or the ASICS Novablast 5 .",184.66
hoka-clifton-10,https://runrepeat.com/hoka-clifton-10,Hoka Clifton 10,HOKA,Hoka Clifton,3072740.0,IDR,Road,Jogging|Walking|All-day wear,,2025-05-04T15:01:59+00:00,Neutral Pronation|Supination|Underpronation,High arch,Heel strike,Daily running,Orthotic friendly|Cushioned|Removable insole|Rocker,All seasons,Men: Narrow|Normal|Wide|X-Wide|Women: Normal,Mesh|Reflective,For big guys|Maximalist,Shin splints,44.4 mm,32.0 mm,12.4 mm,17.1 HA,20.4 HA,19%,147 SA,,52.3%,,275.0,97.2 mm,,73.1 mm,,27.3 mm,116.9 mm,94.5 mm,3,0.49,14.7N,,,,4,5,1.0 mm,3.6 mm,79.3 HC,4.8 mm,7.6 mm,None,Extended heel collar,Yes,True,3.0,5.0,3.0,Yes,Audience verdict 89 Great! Top 29% in running shoes Top 18% in Hoka running shoes Top 1% most popular running shoes,89,The Hoka Clifton 10 took nearly two and a half years to arrive—a long stretch compared to the yearly cycles of some competitors.,Superb joint protection|Wider toebox improves toe splay|Comfortable upper|Stable ride despite its high stack height|Works well for heel strikers|Ideal for long runs|Versatile for daily walking or jogging|Achilles-friendly heel collar design|Traction improvements,Needs a better foam ASAP|Notable weight gain from v9|Feels more Bondi than Clifton|Non-gusseted tongue,"Runners who found the Clifton 9 undercushioned and wanted a thicker, more protective ride.|Heel strikers needing a stable, hard-wearing daily trainer with a comfort-first design.|Marathoners looking for a go-to option for long, slow miles that works for casual use too.|Those who skipped past versions of the Clifton due to a narrow toebox—this one finally fixes that.","The biggest letdown of the Clifton 10 is its midsole. Over two years since version 9, it still relies on plain CMEVA foam while rivals move toward high-performance compounds like those in the ASICS Novablast 5 or Adidas Adizero EVO SL .|We also feel Hoka may have overdone the stack, pushing it past 40 mm. That’s a big leap from earlier versions, and many runners might prefer something more balanced like the Nike Pegasus 41 or Saucony Ride 18 .|On top of that, the extra foam brings noticeable weight gain. For runners who prioritize a lightweight feel, the Hoka Mach 6 might actually be the Clifton 10 that never existed.",184.66
altra-torin-8,https://runrepeat.com/altra-torin-8,Altra Torin 8,Altra,Altra Torin,2880700.0,IDR,Road,Jogging|Walking,,2025-04-23T07:27:43+00:00,Neutral Pronation|Supination|Underpronation,High arch,Forefoot|Midfoot strike,Daily running,Orthotic friendly|Removable insole,All seasons,Normal|Wide,Mesh|Reflective,Low drop|Zero drop,Knee pain,27.6 mm,27.7 mm,-0.1 mm,21.0 HA,27.6 HA,31%,110 SA,,58.2%,,275.0,95.3 mm,,83.6 mm,,26.8 mm,117.7 mm,81.6 mm,3,0.55,14.0N,,,,4,4,0.8 mm,2.5 mm,82.0 HC,5.0 mm,10.9 mm,None,Extended heel collar,Yes,True,3.0,3.0,4.0,Yes,Audience verdict 86 Good! Top 20% most popular running shoes,86,"The Altra Torin 8 took longer than expected to arrive, but we think the wait paid off—mostly.","True zero-drop midsole|Foot-shaped, wide toebox|Excellent durability|Improved heel lockdown|Plush step-in comfort|Keeps the same price|Can be used for walking|Amazing for forefoot strikers|Improved outsole|Stable",Weight gain compared to v7|Not for rearfoot strikers|Needs a better foam ASAP|Non-gusseted tongue,"Any zero-drop aficionado looking for a reliable daily trainer with long-lasting durability.|Those who felt the Torin 7 was an awkward version—this update feels better on foot with an improved upper and more secure heel lockdown.|Midfoot or forefoot strikers needing a shoe for easy-paced miles that can also double as a casual, all-day walking option.|Runners aiming to transition toward minimalist footwear and want an in-between step that still offers a true zero-drop platform.","We think the Torin 8 isn’t the best option if you're after responsiveness—it gained weight over the previous version, and with its low-energy return midsole, that extra bulk feels even harder to justify. From our evaluation, both the ASICS Novablast 5 and Adidas Adizero EVO SL feel significantly faster underfoot. Both shoes lighter, snappier, and priced at a similar or even lower point.|Our perspective is that the Torin 8’s stack height may turn off runners looking for a more natural experience. If you're seeking a flexible, ground-connected feel, we believe the Altra Escalante 4 or Topo Cyclone 2 are far better choices.",173.12
nike-vaporfly-4,https://runrepeat.com/nike-vaporfly-4,Nike Vaporfly 4,Nike,,4993200.0,IDR,Road,Triathlon|Treadmill,,2025-04-20T09:38:10+00:00,Neutral Pronation|Supination|Underpronation,High arch,Heel strike|Forefoot|Midfoot strike,Competition,Orthotic friendly|Cushioned|Carbon plate|Removable insole,All seasons,Normal,Mesh,Breathable|Lightweight,,34.1 mm,25.5 mm,8.6 mm,19.9 HA,20.0 HA,1%,137 SA,,78.1%,,166.0,91.7 mm,,73.2 mm,,27.3 mm,110.6 mm,77.0 mm,4,0.45,18.0N,,,,4,3,8.6 mm,2.3 mm,71.5 HC,2.9 mm,2.5 mm,None,Pull tab,Yes,True,4.0,4.0,2.0,No,Audience verdict 90 Great! Top 21% in road running shoes Top 21% in Nike running shoes Top 14% most popular running shoes,90,"We believe the Vaporfly 4 is a smart update, but not the groundbreaking reinvention some runners might have expected from Nike.","13% lighter than the Vaporfly 3|Awesome for 5K, 10K and 21K races|Full ZoomX midsole|Spring-loaded carbon-fiber Flyplate|Fantastic lockdown with premium laces|Moderate rocker for a more natural ride|Improved perforated, removable insole|Better rubber coverage in the forefoot|Gets improvements from the Alphafly 3|Great upper featuring breathability and durability",Less ideal for marathon racing|Still lacks the snappy feel of the Vaporfly 1&2|Narrow midfoot and heel limit stability,"Those who felt the Vaporfly 3 was a bit underwhelming will enjoy this update, as it feels faster thanks to its low weight and refreshed, Alphafly-inspired geometry.|Lightweight runners will discover in this shoe a race-ready tool that covers everything from speedy road miles to full marathons, all with a moderate rocker that feels natural.|For average-sized runners, it’s a strong option for all distances up to 21K, offering a more agile ride that thrives at faster paces.|It’s the perfect supershoe for runners who find current models too towering, chunky, or overly bulky. This one feels more grounded yet still delivers an explosive performance.","We believe that runners who are not on the lightweight side may find the Vaporfly 4 a bit underwhelming when it comes to cushioning—especially compared to next-gen supershoes. In our tests, the reduced stack height felt slightly limiting for heavier runners, making options like the Nike Alphafly 3 or the ASICS Metaspeed Sky Paris more interesting choices.|Additionally, it's clear that the Vaporfly 4 remains on the pricey side. From our perspective, if you're looking for a good supershoe without breaking the bank, the Saucony Endorphin Pro 4 is a more reasonable option, or you can consider the Nike Streakfly 2 if you're only racing 5K and 10K events.",300.08
new-balance-mt-10,https://runrepeat.com/new-balance-mt-10,New Balance MT10,New Balance,,2304560.0,IDR,Trail,,,2025-04-04T15:21:27+00:00,Neutral Pronation|Supination|Underpronation,High arch,Forefoot|Midfoot strike,,,All seasons,Normal,Mesh,Minimalist|Lightweight,,15.6 mm,10.6 mm,5.0 mm,34.4 HA,42.5 HA,24%,61 SA,,49.1%,,200.0,91.8 mm,,75.0 mm,,38.3 mm,104.4 mm,72.0 mm,3,,3.2N,5.6N,6.2N,11%,5,3,0.9 mm,4.3 mm,84.0 HC,,1.3 mm,Sock like,Finger loop,No,False,3.0,1.0,1.0,No,Audience verdict 85 Good! Top 21% most popular running shoes,85,We found it refreshing to see a traditional brand like New Balance still making true minimalist shoes.,Super-flexible build|Good durability|Low stack height|Sock-like comfortable upper|Cushioned heel|Great value|Works for road and trail running,Limited toe splay|Non-removable insole reduces customization|Lacks a zero-drop geometry|Poor traction,"Runners who love minimalist footwear and need a versatile, road-to-trail option that keeps things simple but functional.|Those with slim feet who often find barefoot shoes too roomy and prefer a more classic, narrower fit.|Anyone transitioning into barefoot shoes who still wants a touch of underfoot cushioning.","We found that the MT10 misses the mark for those chasing a natural ride—its 5.0 mm offset may disappoint purists seeking a truly flat feel. If that’s you, we suggest the Merrell Trail Glove 7 as a zero-drop alternative.|From our perspective, the tapered, traditional toebox will be another letdown for some. It lacks the foot-shaped spaciousness many minimalist fans love. We recommend checking the Xero Shoes Scrambler Low instead—it features a roomy forefoot and a Michelin outsole, making it a better fit for wider feet and natural foot splay.",138.5
adidas-supernova-rise-2,https://runrepeat.com/adidas-supernova-rise-2,Adidas Supernova Rise 2,Adidas,Adidas Supernova,2880700.0,IDR,Road,Jogging|Treadmill|Walking|All-day wear|For beginners,,2025-04-02T14:00:05+00:00,Neutral Pronation|Supination|Underpronation,High arch,Heel strike|Forefoot|Midfoot strike,Daily running,Orthotic friendly|Cushioned|Removable insole,All seasons,Normal|Wide,Mesh|Reflective,Breathable|Comfortable,Plantar fasciitis|Bunions,33.5 mm,24.0 mm,9.5 mm,21.0 HA,22.2 HA,6%,127 SA,,69.5%,,257.0,98.7 mm,,77.7 mm,,28.4 mm,113.9 mm,86.0 mm,4,0.38,7.3N,17.6N,20.0N,14%,3,4,1.1 mm,2.5 mm,79.2 HC,4.4 mm,9.4 mm,None,None,Yes,True,4.0,3.0,4.0,Yes,Audience verdict 91 Superb! Top 10% in road running shoes Top 13% in Adidas running shoes Top 26% most popular running shoes,91,The Adidas Supernova Rise 2 makes some smart tweaks without taking any steps backward.,"Lighter than version 1|Comfortable yet breathable upper|Cold-proof PEBA midsole|Stable ride with Support Rods|Reflective accents for night visibility|Maintains competitive price tag|Responsive Dreamstrike+ foam|Flexible, natural running experience|Great for walking",Outsole lacks Continental|Not cushioned for forefoot strikers|Still lacks a gusseted tongue,"Runners who enjoyed version 1, as this update keeps the same core feel but improves key elements like the lighter build and upgraded upper.|Those looking for a dependable daily trainer that performs well across most distances, offering comfort without relying on a towering stack height.|Heel strikers who want a highly-flexible running shoe that also feels great for casual, everyday use.","We believe that the Supernova Rise 2 is not the best option for those chasing maximum underfoot protection, as it skips the oversized midsoles that have taken over the market. If you're looking for sky-high cushioning, we think the ASICS Novablast 5 or Adidas Supernova Prima will better suit your needs.|From our point of view, forefoot strikers may also find the shoe less appealing due to its steep heel-to-toe drop. We’re convinced that lighter, more balanced options—like the ASICS Noosa Tri 16 or the Topo Atmos —offer a smoother ride for these runners.",173.12
new-balance-fresh-foam-x-hierro-v9,https://runrepeat.com/new-balance-fresh-foam-x-hierro-v9,New Balance Fresh Foam X Hierro v9,New Balance,New Balance Fresh Foam|New Balance Fresh Foam X,3072740.0,IDR,Trail,Hiking,,2025-04-01T17:03:03+00:00,Neutral Pronation|Supination|Underpronation,High arch,Forefoot|Midfoot strike,,Orthotic friendly|Cushioned|Removable insole,All seasons,Normal|Wide|X-Wide,Mesh,Low drop|Maximalist,Knee pain,37.3 mm,33.1 mm,4.2 mm,14.6 HA,18.1 HA,24%,131 SA,,61.9%,,309.0,94.7 mm,,73.4 mm,,26.7 mm,116.9 mm,94.1 mm,3,,18.2N,34.6N,41.3N,19%,4,5,0.9 mm,2.4 mm,88.6 HC,4.5 mm,7.2 mm,Both sides (semi),Finger loop,Yes,True,3.0,5.0,3.0,No,Audience verdict 84 Good! Top 8% most popular running shoes,84,The New Balance Fresh Foam X Hierro v9 is a bold reboot of the series.,So much foam underfoot!|Vibram Megagrip outsole|Improved Fresh Foam X midsole|Surprisingly stable|Amazing durability|Ideal for long distances|Available in multiple widths|Good quality materials|Excellent for forefoot and midfoot strikers,Not the roomiest fit|Heavier than before|Lost its flexible nature|Low drop won't suit everyone,"A dream come true for fans of the Hierro series who craved more underfoot cushioning—this version finally delivers it.|Ideal for trail runners looking for a plush-and-durable maximalist shoe built for long-distance outings.|Fantastic for midfoot and forefoot strikers, with upgraded forefoot foam and a low-drop setup that feels naturally efficient.","We believe that the Hierro v9 isn't the right pick for runners who loved the flexible, easygoing feel of past versions. It’s now a stiff-and-rigid trail shoe that trades natural motion for a max-cushion ride. In our view, shoes like the Nike Pegasus Trail 5 or Hoka Challenger 7 feel way more natural underfoot.|From our perspective, the 4.2 mm drop could be an issue for some heel strikers, as it means a big departure from the previous setup. We think they’d feel more at home in the Brooks Caldera 7 or even the ultra-high-drop Merrell Moab Flight .",184.66
